,0
1519,42535.94
1520,44544.86
1521,43873.56
1522,40515.7
1523,39974.44
1524,40079.17
1525,38386.89
1526,37008.16
1527,38230.33
1528,37250.01
1529,38327.21
1530,39219.17
1531,39116.72
1532,37699.07
1533,43160
1534,44421.2
1535,43892.98
1536,42454
1537,39148.66
1538,39397.96
1539,38420.81
1540,37988
1541,38730.63
1542,41941.71
1543,39422
1544,38729.57
1545,38807.36
1546,37777.34
1547,39671.37
1548,39280.33
1549,41114
1550,40917.9
1551,41757.51
1552,42201.13
1553,41262.11
1554,41002.25
1555,42364.13
1556,42882.76
1557,43991.46
1558,44313.16
1559,44511.27
1560,46827.76
1561,47122.21
1562,47434.8
1563,47067.99
1564,45510.34
1565,46283.49
1566,45811
1567,46407.35
1568,46580.51
1569,45497.55
1570,43170.47
1571,43444.19
1572,42252.01
1573,42753.97
1574,42158.85
1575,39530.45
1576,40074.94
1577,41147.79
1578,39942.38
1579,40551.9
1580,40378.71
1581,39678.12
1582,40801.13
1583,41493.18
1584,41358.19
1585,40480.01
1586,39709.18
1587,39441.6
1588,39450.13
1589,40426.08
1590,38112.65
1591,39235.72
1592,39742.07
1593,38596.11
1594,37630.8
1595,38468.35
1596,38525.16
1597,37728.95
1598,39690
1599,36552.97
1600,36013.77
1601,35472.39
1602,34038.4
1603,30076.31
1604,31017.1
1605,29103.94
1606,29029.75
1607,29287.05
1608,30086.74
1609,31328.89
1610,29874.01
1611,30444.93
1612,28715.32
1613,30319.23
1614,29201.01
1615,29445.06
1616,30293.94
1617,29109.15
1618,29654.58
1619,29542.15
1620,29201.35
1621,28629.8
1622,29031.33
1623,29468.1
1624,31734.22
1625,31801.04
1626,29805.83
1627,30452.62
1628,29700.21
1629,29864.04
1630,29919.21
1631,31373.1
1632,31125.33
1633,30204.77
1634,30109.93
1635,29091.88
1636,28424.7
1637,26574.53
1638,22487.41
1639,22136.41
1640,22583.72
1641,20401.31
1642,20468.81
1643,18970.79
1644,20574
1645,20573.89
1646,20723.52
1647,19987.99
1648,21110.13
1649,21237.69
1650,21491.19
